area,bedrooms,bathrooms,location,price
1200,2,1,New York,250000
1500,3,2,Los Angeles,350000
1800,3,2,Chicago,300000
1000,2,1,New York,200000
2200,4,3,Los Angeles,500000
1600,3,2,Chicago,320000
2400,4,3,New York,550000
2000,3,2,Los Angeles,400000
1400,2,1,Chicago,270000
1800,3,2,New York,350000
1300,2,1,Los Angeles,230000
2100,4,3,Chicago,480000
1100,2,1,New York,220000
1700,3,2,Los Angeles,380000
1900,3,2,Chicago,330000
1300,2,1,New York,240000
2400,4,3,Los Angeles,520000
1500,3,2,Chicago,290000
1800,3,2,New York,380000
1100,2,1,Los Angeles,210000
2000,3,2,Chicago,420000
1200,2,1,New York,230000
1600,3,2,Los Angeles,360000
1900,3,2,Chicago,310000
1000,2,1,New York,180000
2200,4,3,Los Angeles,490000
1400,2,1,Chicago,250000
2100,4,3,New York,570000
1300,2,1,Los Angeles,250000
2400,4,3,Chicago,540000
1300,2,1,New York,220000
1700,3,2,Los Angeles,390000
1900,3,2,Chicago,340000
1300,2,1,New York,230000
2400,4,3,Los Angeles,530000
1500,3,2,Chicago,280000
1800,3,2,New York,370000
1100,2,1,Los Angeles,200000
2000,3,2,Chicago,410000
1200,2,1,New York,240000
1600,3,2,Los Angeles,380000
1900,3,2,Chicago,330000
1000,2,1,New York,170000
2200,4,3,Los Angeles,480000
1400,2,1,Chicago,260000
2100,4,3,New York,550000
1300,2,1,Los Angeles,240000
2400,4,3,Chicago,520000
1300,2,1,New York,210000
1700,3,2,Los Angeles,370000
1900,3,2,Chicago,320000
1300,2,1,New York,220000
2400,4,3,Los Angeles,510000
1500,3,2,Chicago,300000
1800,3,2,New York,390000
1100,2,1,Los Angeles,190000
2000,3,2,Chicago,430000
1200,2,1,New York,250000
1600,3,2,Los Angeles,390000
1900,3,2,Chicago,350000
1000,2,1,New York,190000
2200,4,3,Los Angeles,470000
1400,2,1,Chicago,270000
2100,4,3,New York,530000
1300,2,1,Los Angeles,230000
2400,4,3,Chicago,500000
1300,2,1,New York,210000
1700,3,2,Los Angeles,370000
1900,3,2,Chicago,340000
1300,2,1,New York,220000
2400,4,3,Los Angeles,520000
1500,3,2,Chicago,310000
1800,3,2,New York,410000
1100,2,1,Los Angeles,200000
2000,3,2,Chicago,450000
